660000	0.95	0.94	0.93	0.98	0.98	0.98	0.94	0.93	0.92
1320000	0.93	0.88	0.82	0.94	0.86	0.86	0.92	0.83	0.78
1980000	0.91	0.86	0.8	0.93	0.85	0.75	0.91	0.82	0.77
2640000	0.88	0.83	0.77	0.91	0.83	0.73	0.88	0.79	0.74
3300000	0.85	0.8	0.74	0.88	0.8	0.7	0.85	0.76	0.71
3960000	0.82	0.77	0.71	0.86	0.78	0.68	0.83	0.74	0.69
4620000	0.84	0.79	0.73	0.85	0.77	0.67	0.84	0.75	0.7
5280000	0.87	0.82	0.76	0.83	0.73	0.63	0.87	0.78	0.73
5940000	0.93	0.88	0.82	0.88	0.82	0.72	0.9	0.81	0.76
6600000	0.95	0.9	0.84	0.91	0.85	0.75	0.93	0.84	0.79
