sequence_index,last_window_index,mse_scalar,outlier_label,outlier_score,mse_activity,mse_mobility,mse_complexity,mse_pulse_width,mse_amplitude_variation,mse_mean_instantaneous_frequency,mse_std_instantaneous_frequency
0,9,0.8145290275219129,-1,-25441.381506877264,1.3330660062133763,0.7191592496247062,0.34994923219742147,0.8088415105481432,0.9909179156520904,0.4164565650979111,1.083312713319741
1,10,0.2964588859707448,-1,-1168.7838930249432,0.3784543547556121,0.27216870878929433,0.0521394398393721,0.3075089369969744,0.41917909895134553,0.09725727978965823,0.548504382672957
2,11,0.34307806065085655,-1,-3818.9493777700936,0.19836095807579662,0.19169700899531597,0.07775141116347131,0.5984979645779008,0.6635341372325686,0.3430489324085785,0.32865601210236395
3,12,0.8974416623527467,-1,-20181.235326061495,0.388764827155749,0.6249799997790616,0.5712609145085551,0.7792524559405101,1.2441207564927248,0.5204942996500701,2.1532183829425557
4,13,0.32042367416446377,-1,-1610.0151785140526,0.17270442040727235,0.35039001926892993,0.2686853873363085,0.9828068950612561,0.07738134996551134,0.17778275978491,0.2132148873270583
5,14,0.24578838529522154,-1,-1773.646231464206,0.10979764567493866,0.08393062999755346,0.13021746145527133,1.0746826900030295,0.04043387382719426,0.10531677425061556,0.17613962185794793
6,15,0.5684664868078622,-1,-19399.816642209415,0.13906427282245357,0.19985471346602876,0.2897206037868604,3.207388715864812,0.07293065406192682,0.031052434203780056,0.03925401344917409
7,16,0.047460116711806936,1,410.8498944652034,0.013502740977572055,0.10369588854203307,0.1476551643261585,0.0030546094459382644,0.01103478045725176,0.015221798668618761,0.03805583456507612
8,17,0.04494102693422648,1,420.614834758726,0.014029532217300609,0.07540986937022218,0.13548232114894068,0.006814690859769858,0.02421571816335453,0.02629135251470186,0.03234370426529566
9,18,0.05198735313659879,1,416.75849152294415,0.011815035646148367,0.10978015937272681,0.13626986848317185,0.0077613632736156,0.0155704266163082,0.042537514369023546,0.04017710419519717
10,19,0.04815822740397285,1,423.5012496974835,0.02036243154954271,0.034298501673240514,0.11014551746411436,0.009130913293388502,0.040555134372414696,0.09277824227915085,0.02983685119595832
